area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price
37,Phường Vĩnh Tuy,3,9.2,4,5,3,4,Không xác định,1,7.5
41,Phường Hai Bà Trưng,3,10.2,4,4,4,3,Không xác định,1,8.4
43,Phường Vĩnh Tuy,3,10.8,4,4,4,3,Không xác định,1,9.85
50,Phường Hai Bà Trưng,3,12.5,4,1,1,1,Không xác định,1,7.8
32,Phường Hoàng Mai,3,8,4,4,3,3,Không xác định,1,7.7
36,Phường Tương Mai,3,9,4,5,3,4,Không xác định,1,10.5
68,Phường Hoàng Mai,4,11.3,6,4,4,3,Không xác định,1,14.8
43,Phường Hai Bà Trưng,4,10.8,4,5,4,3,Không xác định,1,15
35,Phường Tương Mai,3,7,5,5,3,4,Không xác định,1,7.5
52,Phường Bạch Mai,3,10.4,5,5,6,4,Không xác định,1,11.9
52,Phường Hoàng Mai,4,13,4,4,4,3,Không xác định,1,14.3
41,Phường Vĩnh Tuy,3,8.2,5,4,4,3,Không xác định,1,7.95
32,Phường Vĩnh Tuy,3,8,4,5,3,3,Không xác định,1,8.2
53,Phường Tương Mai,3,13.2,4,4,4,3,Không xác định,1,9.9
34,Phường Tương Mai,3,8.5,4,4,3,3,Không xác định,1,7.1
43,Phường Tương Mai,3,10.8,4,5,3,4,Không xác định,1,10.5
46,Phường Vĩnh Tuy,3,9.2,5,5,6,4,Không xác định,1,15.5
44,Phường Tương Mai,3,11,4,5,4,4,Không xác định,1,10.5
45,Phường Tương Mai,3,9,5,6,6,5,Không xác định,1,11.95
48,Phường Tương Mai,4,9.6,5,4,3,3,Không xác định,1,14
43,Phường Tương Mai,3,10.8,4,5,6,4,Không xác định,1,13.2
42,Phường Tương Mai,3,10.5,4,5,4,4,Không xác định,1,12.8
80,Phường Bạch Mai,8,20,4,4,4,3,Không xác định,1,21.5
90,Phường Lĩnh Nam,6,22.5,4,3,4,3,Không xác định,1,23.5
51,Phường Bạch Mai,8,12.8,4,5,4,4,Không xác định,1,16.5
43,Phường Lĩnh Nam,3,10.8,4,4,3,3,Không xác định,1,9.5
54,Phường Tương Mai,3,13.5,4,4,4,3,Không xác định,1,10.8
41,Phường Tương Mai,3,8.2,5,5,4,3,Không xác định,1,10.5
60,Phường Hoàng Mai,6,12,5,5,4,3,Không xác định,1,14.8
74,Phường Tương Mai,3,10.6,7,4,4,3,Không xác định,1,13.4
61,Phường Lĩnh Nam,6,12.2,5,5,4,4,Không xác định,1,14.8
41,Phường Tương Mai,3,8.2,5,5,6,4,Không xác định,1,10.2
38,Phường Bạch Mai,3,9.5,4,5,3,4,Không xác định,1,9.5
34,Phường Bạch Mai,3,11.3,3,4,4,3,Không xác định,1,10.5
47,Phường Vĩnh Tuy,6,9.4,5,5,3,4,Không xác định,1,13.8
38,Phường Vĩnh Tuy,3,9.5,4,5,3,4,Không xác định,1,7.65
