area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price,room_density,bath_per_bed,wide_ratio,distance_center
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.2,0.1,1,1.2,4.534613652
45,Phường Vĩnh Tuy,3,15,3,5,6,4,Không xác định,1,12.87,0.133333333,0.571428571,5,2.548580475
43,Phường Vĩnh Tuy,3,8.6,5,4,4,3,Không xác định,1,10.9,0.093023256,0.6,1.72,3.47303392
45,Phường Tương Mai,4,11.2,4,6,4,5,Không xác định,1,15.5,0.088888889,1,2.8,2.422719127
32,Phường Tương Mai,6,10.7,3,5,3,4,Không xác định,1,11,0.09375,1,3.566666667,2.571303343
35,Phường Bạch Mai,3,8.8,4,5,3,4,Không xác định,1,8.8,0.085714286,1,2.2,2.498392929
54,Phường Tương Mai,5,13.5,4,7,4,6,Không xác định,1,23.9,0.074074074,1.2,3.375,1.672465163
51,Phường Tương Mai,6,12.8,4,6,3,5,Không xác định,1,21,0.058823529,1.25,3.2,3.117558585
40,Phường Yên Sở,8,13.3,3,5,3,4,Không xác định,1,18.8,0.075,1,4.433333333,2.79218151
70,Phường Hoàng Mai,8,14,5,4,3,3,Không xác định,1,20,0.042857143,0.75,2.8,6.012546857
40,Phường Tương Mai,3,10,4,5,6,4,Không xác định,1,10.8,0.15,0.571428571,2.5,2.872994407
30,Phường Tương Mai,3,7.5,4,5,3,4,Không xác định,1,7.5,0.1,1,1.875,3.748613952
34,Phường Bạch Mai,3,6.8,5,4,2,3,Không xác định,1,6.9,0.058823529,1,1.36,3.29738392
48,Phường Tương Mai,4,9.6,5,4,3,3,Không xác định,1,14,0.0625,0.75,1.92,2.486762272
32,Phường Bạch Mai,3,10.7,3,4,3,3,Không xác định,1,8.1,0.09375,0.75,3.566666667,2.571841083
42,Phường Tương Mai,3,10.5,4,4,4,3,Không xác định,1,9.5,0.095238095,0.6,2.625,4.517027893
46,Phường Tương Mai,3,9.2,5,4,4,3,Không xác định,1,8.6,0.086956522,0.6,1.84,5.328799534
41,Phường Vĩnh Tuy,4,13.7,3,4,4,3,Không xác định,1,10.6,0.097560976,0.6,4.566666667,2.858747385
42,Phường Lĩnh Nam,4,14,3,4,6,3,Không xác định,1,10.6,0.142857143,0.428571429,4.666666667,6.745785645
46,Phường Bạch Mai,6,11.5,4,4,4,3,Không xác định,1,18.8,0.086956522,0.6,2.875,1.795366566
38,Phường Tương Mai,3,5.4,7,3,3,3,Không xác định,1,8.2,0.078947368,0.75,0.771428571,3.818442254
57,Phường Bạch Mai,4,14.2,4,4,3,3,Không xác định,1,11.68,0.052631579,0.75,3.55,2.943756304
42,Phường Tương Mai,35,10.5,4,5,4,4,Không xác định,1,14,0.095238095,0.8,2.625,3.06512607
73,Phường Bạch Mai,3,14.6,5,3,3,2,Không xác định,1,12.4,0.04109589,0.5,2.92,3.243790079
62,Phường Bạch Mai,3,12.4,5,5,6,4,Không xác định,1,15.8,0.096774194,0.571428571,2.48,2.626705867
58,Phường Tương Mai,4,11.6,5,3,4,2,Không xác định,1,11,0.068965517,0.4,2.32,5.374850888
73,Phường Tương Mai,3,14.6,5,3,3,2,Không xác định,1,11.3,0.04109589,0.5,2.92,4.832955922
33,Phường Vĩnh Tuy,3,8.2,4,5,3,4,Không xác định,1,8.6,0.090909091,1,2.05,3.774640425
62,Phường Lĩnh Nam,4,12.4,5,5,5,4,Không xác định,1,13.8,0.080645161,0.666666667,2.48,6.80406291
61,Phường Tương Mai,4,12.2,5,5,4,4,Không xác định,1,13.8,0.06557377,0.8,2.44,4.687028921
73,Phường Tương Mai,3,18.2,4,3,3,2,Không xác định,1,12.5,0.04109589,0.5,4.55,4.368992153
69,Phường Lĩnh Nam,4,13.8,5,1,2,1,Không xác định,1,17,0.028985507,0.333333333,2.76,6.789209476
88,Phường Tương Mai,3,22,4,4,4,3,Không xác định,1,14.2,0.045454545,0.6,5.5,2.957363285
79,Phường Lĩnh Nam,3,19.8,4,4,4,3,Không xác định,1,16.8,0.050632911,0.6,4.95,7.215801338
78,Phường Vĩnh Tuy,4,19.5,4,4,3,3,Không xác định,1,16.2,0.038461538,0.75,4.875,3.707521409
55,Phường Lĩnh Nam,8,9.2,6,3,2,2,Không xác định,1,22,0.036363636,0.666666667,1.533333333,3.580375799
55,Phường Tương Mai,5,13.8,4,7,4,5,Không xác định,1,19.5,0.072727273,1,3.45,2.424123032
33,Phường Vĩnh Tuy,3,8.2,4,5,3,4,Không xác định,1,7.95,0.090909091,1,2.05,4.083258825
36,Phường Tương Mai,3,12,3,5,3,4,Không xác định,1,8.5,0.083333333,1,4,4.085859498
37,Phường Tương Mai,8,1.1,33,4,2,3,Không xác định,1,15,0.054054054,1,0.033333333,3.242318957
69,Phường Bạch Mai,8,8.6,8,2,2,1,Không xác định,1,15,0.028985507,0.333333333,1.075,3.400932367
62,Phường Bạch Mai,3,6.9,9,4,4,3,Không xác định,1,11.5,0.064516129,0.6,0.766666667,3.608865452
34,Phường Lĩnh Nam,3,6.8,5,5,3,4,Không xác định,1,7.98,0.088235294,1,1.36,6.450517991
58,Phường Bạch Mai,5,11.6,5,4,4,3,Không xác định,0,19,0.068965517,0.6,2.32,2.291862999
61,Phường Tương Mai,8,12.2,5,5,6,4,Không xác định,1,22.5,0.098360656,0.571428571,2.44,2.874711071
73,Phường Vĩnh Tuy,3,12.2,6,3,3,2,Không xác định,1,14.5,0.04109589,0.5,2.033333333,3.289769031
46,Phường Vĩnh Tuy,6,11.5,4,4,4,3,Không xác định,1,16.38,0.086956522,0.6,2.875,2.443746028
52,Phường Tương Mai,5,1.2,45,6,4,5,Không xác định,1,18.6,0.076923077,1,0.026666667,3.010206637
46,Phường Vĩnh Tuy,8,11.5,4,6,4,5,Không xác định,1,19.5,0.086956522,1,2.875,2.052746664
77,Phường Tương Mai,4,19.2,4,1,2,1,Không xác định,1,18.8,0.025974026,0.333333333,4.8,4.330345452
55,Phường Tương Mai,3,13.8,4,4,4,3,Không xác định,1,11.5,0.072727273,0.6,3.45,4.110469489
64,Phường Lĩnh Nam,3,16,4,7,12,12,Không xác định,1,18.9,0.1875,0.923076923,4,6.442631803
50,Phường Tương Mai,3,10,5,7,9,9,Không xác định,1,13.5,0.18,0.9,2,2.858527685
