area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price,room_density,bath_per_bed,wide_ratio,distance_center
88,Phường Yên Sở,8,11,8,9,2,2,Đông - Bắc,1,5.15,0.022727273,0.666666667,1.375,7.3259762
56,Phường Vĩnh Hưng,4,14,4,5,4,4,Nam,1,9.6,0.071428571,0.8,3.5,5.29206257
90,Phường Hoàng Liệt,4,18,5,7,23,23,Đông,1,19.8,0.255555556,0.958333333,3.6,7.585956716
48,Phường Hoàng Liệt,5,7,7,4,3,3,Đông,1,6.2,0.0625,0.75,1,7.585956716
30,Phường Hoàng Liệt,4,8,4,5,3,3,Đông,1,4.5,0.1,0.75,2,7.585956716
44,Phường Hoàng Liệt,3,12,4,4,4,3,Bắc,1,7.5,0.090909091,0.6,3,7.585956716
33,Phường Yên Sở,3,9,4,5,3,4,Đông,1,5.85,0.090909091,1,2.25,7.3259762
41,Phường Hoàng Liệt,3,11,4,4,3,3,Đông - Nam,1,5.5,0.073170732,0.75,2.75,7.585956716
33,Phường Hoàng Liệt,3,11,35,5,3,3,Nam,1,6.99,0.090909091,0.75,0.314285714,7.585956716
75,Phường Hoàng Liệt,4,8,9,9,3,2,Tây,1,4.35,0.04,0.5,0.888888889,7.585956716
40,Phường Hoàng Liệt,3,8,5,5,5,4,Nam,1,7,0.125,0.666666667,1.6,7.585956716
81,Phường Hoàng Liệt,8,9,9,5,3,2,Đông,1,3.75,0.037037037,0.5,1,7.585956716
45,Phường Yên Sở,4,4,1,4,4,3,Đông,1,8.1,0.088888889,0.6,4,7.3259762
35,Phường Hoàng Liệt,3,9,1,5,5,3,Tây - Nam,1,6.35,0.142857143,0.5,9,7.585956716
75,Phường Hoàng Liệt,6,8.3,9,5,3,2,Tây - Nam,1,3.75,0.04,0.5,0.922222222,7.585956716
30,Phường Vĩnh Hưng,4,9,35,4,3,2,Tây,1,5.65,0.1,0.5,0.257142857,5.29206257
55,Phường Định Công,3,15,35,5,3,3,Bắc,1,8.3,0.054545455,0.75,0.428571429,6.375509361
65,Phường Hoàng Liệt,8,8,9,7,2,1,Đông,1,3.3,0.030769231,0.333333333,0.888888889,7.585956716
